,date,title,author,publisher,description
9659,2/7/2010,"I, SNIPER", Stephen Hunter,Simon &amp; Schuster,"

Bob Lee Swagger discovers that the murder of four ’60s radicals is more complicated than it seems."
9660,1/31/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9661,1/31/2010,THE FIRST RULE, Robert Crais,Penguin Group (USA) Incorporated,"
Elvis Cole and his partner, Joe Pike, set out to clear the reputation of a former military contractor who has been murdered."
9662,1/31/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9663,1/31/2010,THE SWAN THIEVES, Elizabeth Kostova,"Little, Brown",A psychiatrist who treats a man who slashed a canvas in the National Gallery is drawn into the world of French Impressionism; from the author of “The Historian.”
9664,1/31/2010,THE LAST SONG, Nicholas Sparks,Grand Central,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.
9665,1/31/2010,IMPACT, Douglas Preston,Forge,Scientists race to defuse a doomsday weapon pointed at Earth from one of the moons of Mars.
9666,1/31/2010,TREASURE HUNT, John Lescroart,Dutton,A young San Francisco private investigator discovers some unpleasant facts when a well-known fund-raiser is murdered.
9667,1/31/2010,DEEPER THAN THE DEAD, Tami Hoag,Dutton,An F.B.I. investigator and a teacher track a series of murders in California in 1985.
9668,1/31/2010,U IS FOR UNDERTOW, Sue Grafton,Putnam,Kinsey Millhone investigates the case of a 4-year-old girl who disappeared 21 years earlier.
9669,1/31/2010,ROSES, Leila Meacham,Grand Central,Three generations in a small East Texas town.
9670,1/31/2010,THE HONOR OF SPIES, W. E. B. Griffin and William E. Butterworth IV,Putnam,An O.S.S. agent seeks information from a German prisoner of war.
9671,1/24/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9672,1/24/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9673,1/24/2010,NOAH’S COMPASS, Anne Tyler,Knopf,A retired teacher with a head injury struggles to regain his memory and his engagement in life.
9674,1/24/2010,IMPACT, Douglas Preston,Forge,Scientists race to defuse a doomsday weapon pointed at Earth from one of the moons of Mars.
9675,1/24/2010,CROSS FIRE, James Patterson,"Little, Brown","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets."
9676,1/24/2010,THE LAST SONG, Nicholas Sparks,Grand Central,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.
9677,1/24/2010,DEEPER THAN THE DEAD, Tami Hoag,Dutton,An F.B.I. investigator and a teacher track a series of murders in California in 1985.
9678,1/24/2010,SIZZLE, Julie Garwood,Ballantine,A film student who witnessed a crime is aided by a handsome F.B.I. agent.
9679,1/24/2010,THE HONOR OF SPIES, W. E. B. Griffin and William E. Butterworth IV,Putnam,An O.S.S. agent seeks information from a German prisoner of war; the fifth book in the Honor Bound series.
9680,1/24/2010,U IS FOR UNDERTOW, Sue Grafton,Putnam,Kinsey Millhone investigates the case of a 4-year-old girl who disappeared 21 years earlier.
9681,1/24/2010,PIRATE LATITUDES, Michael Crichton,Harper/HarperCollins,"In the 17th-century Caribbean, a British pirate attacks a Spanish galleon."
9682,1/24/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9683,1/24/2010,"I, SNIPER", Stephen Hunter,Simon &amp; Schuster,"

Bob Lee Swagger discovers that the murder of four ’60s radicals is more complicated than it seems."
9684,1/17/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9685,1/17/2010,CROSS FIRE, James Patterson,"Little, Brown","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets."
9686,1/17/2010,SIZZLE, Julie Garwood,Ballantine,A film student who witnessed a crime is aided by a handsome F.B.I. agent.
9687,1/17/2010,FIRED UP, Jayne Ann Krentz,Putnam,A venture capitalist who believes he has inherited an ancestor’s psychic powers searches for an elusive artifact.
9688,1/17/2010,THE HONOR OF SPIES, W. E. B. Griffin and William E. Butterworth IV,Putnam,An O.S.S. agent seeks information from a German prisoner of war; the fifth book in the Honor Bound series.
9689,1/17/2010,DEEPER THAN THE DEAD, Tami Hoag,Dutton,An F.B.I. investigator and a teacher track a series of murders in California in 1985.
9690,1/17/2010,THE LAST SONG, Nicholas Sparks,Grand Central,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.
9691,1/17/2010,"UNDER THE DOME, PART 1", Stephen King,Scribner,"When a Maine town is trapped by an invisible force field, a sanctimonious and hypocritical politician takes over."
9692,1/17/2010,U IS FOR UNDERTOW, Sue Grafton,Putnam,Kinsey Millhone investigates the case of a 4-year-old girl who disappeared 21 years earlier.
9693,1/17/2010,PIRATE LATITUDES, Michael Crichton,Harper/HarperCollins,"In the 17th-century Caribbean, a British pirate attacks a Spanish galleon."
9694,1/17/2010,FORD COUNTY, John Grisham,Doubleday,Stories set in rural Mississippi.
9695,1/17/2010,"I, SNIPER", Stephen Hunter,Simon &amp; Schuster,"
Bob Lee Swagger discovers that the murder of four ’60s radicals is more complicated than it seems."
9696,1/17/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9697,1/10/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9698,1/10/2010,CROSS FIRE, James Patterson,"Little, Brown","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets."
9699,1/10/2010,"UNDER THE DOME, PART 1", Stephen King,Scribner,"When a Maine town is trapped by an invisible force field, a sanctimonious and hypocritical politician takes over."
9700,1/10/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9701,1/10/2010,PIRATE LATITUDES, Michael Crichton,Harper/HarperCollins,"In the 17th-century Caribbean, a British pirate attacks a Spanish galleon; this manuscript was found in Crichton’s files after his death in 2008."
9702,1/10/2010,FORD COUNTY, John Grisham,Doubleday,Stories set in rural Mississippi.
9703,1/10/2010,U IS FOR UNDERTOW, Sue Grafton,Putnam,Kinsey Millhone investigates the case of a 4-year-old girl who disappeared 21 years earlier.
9704,1/10/2010,THE LAST SONG, Nicholas Sparks,Grand Central,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.
9705,1/10/2010,THE CHRISTMAS SWEATER, Glenn Beck with Kevin Balfe and Jason Wright.,Threshold Editions,A boy learns from his disappointment with his mother’s gift.
9706,1/10/2010,BREATHLESS, Dean Koontz,Bantam,Mysterious animals in the Colorado Rockies set off intrigue and suspense.
9707,1/10/2010,THE LACUNA, Barbara Kingsolver,Harper/HarperCollins,"A young American growing up in Mexico becomes friends with artists and radicals; later, in the United States, he is menaced by ­McCarthyism."
